Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
Aromas@11SIX,Value for Money,13,1,2,10,84.62,0.3939393939393939,39.39,63.64
Aromas@11SIX,Hygiene,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Aromas@11SIX,Overall Dining Experience,11,0,1,10,95.45,0.3548387096774194,35.48,66.13
The Indi Grill,Food Quality,106,4,7,95,92.92,0.8412698412698413,84.13,86.11
The Indi Grill,Service,77,0,2,75,98.7,0.7938144329896907,79.38,88.66
The Indi Grill,Ambience,34,0,1,33,98.53,0.6296296296296297,62.96,80.56
The Indi Grill,Value for Money,8,1,1,6,81.25,0.2857142857142857,28.57,58.93
The Indi Grill,Hygiene,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
The Indi Grill,Overall Dining Experience,19,0,0,19,100.0,0.48717948717948717,48.72,74.36
Urban Asia - Kitchen & Bar,Food Quality,127,20,15,92,78.35,0.8639455782312925,86.39,74.49
Urban Asia - Kitchen & Bar,Service,51,10,10,31,70.59,0.7183098591549296,71.83,64.79
Urban Asia - Kitchen & Bar,Ambience,23,0,5,18,89.13,0.5348837209302325,53.49,70.93
Urban Asia - Kitchen & Bar,Value for Money,13,2,3,8,73.08,0.3939393939393939,39.39,59.09
Urban Asia - Kitchen & Bar,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Urban Asia - Kitchen & Bar,Overall Dining Experience,18,2,0,16,88.89,0.47368421052631576,47.37,68.42
Eat India Company,Food Quality,99,26,19,54,64.14,0.8319327731092437,83.19,61.76
Eat India Company,Service,60,21,4,35,61.67,0.75,75.0,58.75
Eat India Company,Ambience,34,0,4,30,94.12,0.6296296296296297,62.96,77.78
Eat India Company,Value for Money,13,1,1,11,88.46,0.3939393939393939,39.39,65.15
Eat India Company,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Eat India Company,Overall Dining Experience,22,3,1,18,84.09,0.5238095238095238,52.38,67.86
Royal Spicy Restaurant,Food Quality,41,11,4,26,68.29,0.6721311475409836,67.21,62.29
Royal Spicy Restaurant,Service,6,1,0,5,83.33,0.23076923076923078,23.08,57.69
Royal Spicy Restaurant,Ambience,2,0,1,1,75.0,0.09090909090909091,9.09,52.27
Royal Spicy Restaurant,Value for Money,8,3,2,3,50.0,0.2857142857142857,28.57,50.0
Royal Spicy Restaurant,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Royal Spicy Restaurant,Overall Dining Experience,4,0,0,4,100.0,0.16666666666666666,16.67,58.33
Khaan Saab,Food Quality,104,14,13,77,80.29,0.8387096774193549,83.87,75.4
Khaan Saab,Service,62,10,1,51,83.06,0.7560975609756098,75.61,75.0
Khaan Saab,Ambience,44,3,3,38,89.77,0.6875,68.75,77.34
Khaan Saab,Value for Money,8,1,3,4,68.75,0.2857142857142857,28.57,55.36
Khaan Saab,Hygiene,2,2,0,0,0.0,0.09090909090909091,9.09,45.45
Khaan Saab,Overall Dining Experience,22,1,0,21,95.45,0.5238095238095238,52.38,73.81
Olive Garden,Food Quality,76,11,12,53,77.63,0.7916666666666666,79.17,71.87
Olive Garden,Service,24,3,3,18,81.25,0.5454545454545454,54.55,67.05
Olive Garden,Ambience,14,0,2,12,92.86,0.4117647058823529,41.18,67.65
Olive Garden,Value for Money,17,1,2,14,88.24,0.4594594594594595,45.95,67.57
Olive Garden,Hygiene,2,2,0,0,0.0,0.09090909090909091,9.09,45.45
Olive Garden,Overall Dining Experience,10,0,0,10,100.0,0.3333333333333333,33.33,66.67
Tandoori Food Works,Food Quality,62,17,10,35,64.52,0.7560975609756098,75.61,60.98
Tandoori Food Works,Service,6,2,0,4,66.67,0.23076923076923078,23.08,53.85
Tandoori Food Works,Ambience,0,0,0,0,50.0,0.0,0.0,50.0
Tandoori Food Works,Value for Money,13,4,4,5,53.85,0.3939393939393939,39.39,51.52
Tandoori Food Works,Hygiene,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Tandoori Food Works,Overall Dining Experience,7,1,0,6,85.71,0.25925925925925924,25.93,59.26
Delhi-39,Food Quality,44,15,9,20,55.68,0.6875,68.75,53.9
Delhi-39,Service,7,5,1,1,21.43,0.25925925925925924,25.93,42.59
Delhi-39,Ambience,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Delhi-39,Value for Money,7,4,1,2,35.71,0.25925925925925924,25.93,46.3
Delhi-39,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Delhi-39,Overall Dining Experience,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Al Saba Restaurant,Food Quality,51,10,15,26,65.69,0.7183098591549296,71.83,61.27
Al Saba Restaurant,Service,16,4,3,9,65.62,0.4444444444444444,44.44,56.94
Al Saba Restaurant,Ambience,9,3,5,1,38.89,0.3103448275862069,31.03,46.55
Al Saba Restaurant,Value for Money,9,0,4,5,77.78,0.3103448275862069,31.03,58.62
